Customer_ID,Age,Gender,Phone No,Email,Location,Date,Flight ID,Preferred_Travel_Class,Booking_Channel,Destination_Type,Booking_Frequency,Distance,Miles_Accrued,Loyalty_Tier,Flight_Cancellations,Price_of_Ticket,Tenure,Revenue_Contribution,Ancillary_Purchases,Discount_Usage,Offer,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,AVG_INTERVAL time,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,Complaints_Frequency,NPS,Recency
1,31,Male,(927)709-0811,shelly86@example.org,Germany,07-08-2024,GE3063,Economy,Online,Domestic,8,3783,6095,Gold,2,1093.15,2,11103,3,27,Free Upgrade,2,2,1,1,4,1,3,2,3,1,3,4,16,1,36,22,1,4,17
2,74,Female,001-865-390-9692,vward@example.org,India,22-09-2024,IN6370,First Class,Phone,International,9,4752,1918,Gold,0,533.59,3,3392.94,3,46,Discount,3,5,4,3,3,3,2,4,4,5,5,2,26,1,66,89,3,2,202
3,54,Male,5102652665,amy61@example.net,Canada,11-10-2024,CA5613,Business,Agent,International,2,5193,5665,Bronze,5,1226.58,1,349.65,4,47,No Offer,4,3,4,4,2,5,3,4,5,3,5,3,11,4,103,12,1,9,324
4,62,Female,944-526-6187,brittany85@example.org,Australia,16-11-2024,AU2767,Economy,Online,Domestic,7,6423,682,Gold,1,516.74,6,617.16,1,7,Lounge Access,5,2,5,5,2,3,5,3,3,1,3,4,30,5,30,52,1,2,99
5,34,Female,424.628.6873x42487,nmorales@example.com,France,13-04-2024,FR2304,Economy,Phone,Domestic,2,8807,1540,Gold,4,1276.67,9,1029.85,2,27,Lounge Access,5,3,3,4,4,4,4,4,3,4,3,3,16,1,11,50,0,8,289
6,68,Male,859-612-9224,todd33@example.net,Japan,11-01-2024,JA9078,Business,Mobile App,Domestic,4,9040,377,Silver,1,1646.98,2,11248.02,2,7,No Offer,1,3,4,5,1,3,5,1,5,4,3,3,7,5,108,65,2,3,204
7,45,Male,(518)454-0129x359,christopherroberts@example.org,Canada,22-11-2024,CA1937,First Class,Agent,International,1,6260,4423,Platinum,4,1068.62,4,11740.95,1,29,Lounge Access,4,1,2,1,3,5,4,2,2,2,3,1,7,5,86,59,0,6,200
8,74,Male,675.624.7039,christiekaufman@example.net,Canada,11-05-2024,CA1923,First Class,Online,International,2,2762,508,Silver,5,342.6,9,8600.62,2,48,Free Upgrade,5,2,3,5,4,1,2,1,1,5,3,2,21,5,31,90,4,1,25
9,63,Female,(449)731-6319x68567,michael25@example.net,Canada,01-01-2024,CA9443,Business,Agent,Domestic,1,2173,919,Platinum,0,1197.64,3,847.32,2,3,Lounge Access,3,,1,2,3,1,5,3,5,2,5,2,28,4,71,69,4,2,193
10,38,Male,001-655-350-4261,xromero@example.com,Canada,15-01-2024,CA7023,First Class,Phone,Domestic,1,7327,6868,Silver,2,1785.3,9,13162.32,2,23,Lounge Access,1,3,2,1,3,4,4,1,2,3,5,1,5,3,26,59,4,5,127
